gen,nevals,med,min,max
0,20000,5.501893437487322,0.43257660430085304,inf
1,20000,1.3280281468774098,0.363542768296091,inf
2,20000,1.0969522559807983,0.26205883185421713,inf
3,20000,0.9676028262238909,0.20087594985177695,inf
4,20000,0.7285162542367059,0.20087594985177695,inf
5,20000,0.6290202889675223,0.16948961728373788,inf
6,20000,0.6191280905532522,0.16948961728373788,inf
7,20000,0.6739655878604545,0.16948961728373788,inf
8,20000,0.6047177090849076,0.16948961728373788,inf
9,20000,0.5778031869757269,0.14381020401451117,inf
10,20000,0.5266572494684418,0.13299233048023915,inf
11,20000,0.49631753044103205,0.14442465719868341,inf
12,20000,0.4957027027834221,0.11131179917574126,inf
13,20000,0.4437801223825917,0.11074218544722138,inf
14,20000,0.40525089591193353,0.10665781455876591,inf
15,20000,0.4490670399580443,0.10551060572091252,inf
16,20000,0.42198945515708475,0.09000382996010807,inf
17,20000,0.37770743416448693,0.09000382996010807,inf
18,20000,0.3545030115341056,0.07895132373395684,inf
19,20000,0.37379841863601343,0.07895132373395684,inf
20,20000,0.3464254473705817,0.07895132373395684,inf
21,20000,0.30563928896775283,0.08231692789981494,inf
22,20000,0.34003158103820286,0.06420756549595595,inf
23,20000,0.35704108504014825,0.06420756549595595,inf
24,20000,0.3415635956896654,0.06420756549595595,inf
25,20000,0.3529375341410148,0.06420756549595595,inf
26,20000,0.26223415477253426,0.06420756549595595,inf
27,20000,0.3343858996988802,0.06420756549595595,inf
28,20000,0.33945315505495544,0.06420756549595595,inf
29,20000,0.3066839149296254,0.06420756549595595,inf
30,20000,0.308892955709652,0.06420756549595595,inf
31,20000,0.3422905357103997,0.06420756549595595,inf
32,20000,0.31759935040149756,0.06420756549595595,inf
33,20000,0.2972982979504715,0.06420756549595595,8.783494520384633e+109
34,20000,0.3439442903203819,0.06808024155844997,inf
35,20000,0.24974698392216454,0.06808024155844997,inf
36,20000,0.2524031403786113,0.06808024155844997,inf
37,20000,0.26373848461538246,0.06808024155844997,inf
38,20000,0.2504965176992855,0.07415052383251293,inf
39,20000,0.27542417422425713,0.07415052383251293,inf
40,20000,0.2863631256867319,0.07415052383251293,4.726942944114788e+68
41,20000,0.26482220036052945,0.07415052383251293,inf
42,20000,0.24046705387353726,0.07415052383251293,4.91670570487947e+65
43,20000,0.2869100913291338,0.07415052383251293,inf
44,20000,0.2289002107581687,0.10207997415464383,inf
45,20000,0.23984362823149755,0.09000382996010807,inf
46,20000,0.2868858667121753,0.08674926008832512,inf
47,20000,0.25768882527483006,0.09694960891504384,inf
48,20000,0.23056512902544982,0.09000382996010807,inf
49,20000,0.21356520477263208,0.09000382996010807,inf
50,20000,0.18080172952411439,0.09000382996010807,inf
51,20000,0.25768882527483006,0.09000382996010807,inf
52,20000,0.2458732013036286,0.09361234585153938,inf
53,20000,0.2541936811463643,0.08069569506087813,inf
54,20000,0.27041688203525527,0.08069569506087813,inf
55,20000,0.2577236393064979,0.08069569506087813,1.4185951406435376e+259
56,20000,0.26301449334208665,0.0591162103126069,inf
57,20000,0.25768882527483006,0.0591162103126069,inf
58,20000,0.2419470771958754,0.0591162103126069,inf
59,20000,0.2286515549886316,0.0591162103126069,inf
60,20000,0.25768882527483006,0.0591162103126069,inf
61,20000,0.2533390409555082,0.08069569506087813,inf
62,20000,0.24870137698046402,0.08069569506087813,inf
63,20000,0.25768882527483006,0.08069569506087813,inf
64,20000,0.27075683498994235,0.06615762149360763,inf
65,20000,0.2637678183110034,0.05915576507510959,inf
66,20000,0.26503391878445265,0.05915576507510959,inf
67,20000,0.25768882527483006,0.05915576507510959,inf
68,20000,0.24885915414276094,0.06746422397534063,inf
69,20000,0.25019405249718063,0.06746422397534063,inf
70,20000,0.23165054197728857,0.06746422397534063,inf
71,20000,0.21080134658982186,0.06746422397534063,inf
72,20000,0.23427427423712668,0.06746422397534063,inf
73,20000,0.20087594985177695,0.06746422397534063,inf
74,20000,0.19876174779494485,0.06746422397534063,inf
75,20000,0.24217935365342808,0.06746422397534063,inf
76,20000,0.20793603083752146,0.05915576507510959,inf
77,20000,0.23785023133661964,0.05915576507510959,inf
78,20000,0.20484835979877145,0.05915576507510959,inf
79,20000,0.22738082428273718,0.05915576507510959,inf
80,20000,0.21481185975745226,0.059839593423966914,inf
81,20000,0.17523068759905713,0.059839593423966914,inf
82,20000,0.1709428390391721,0.059839593423966914,inf
83,20000,0.2312747689567048,0.059839593423966914,inf
84,20000,0.18578110165472883,0.0712432282905364,inf
85,20000,0.21481069261557992,0.0712432282905364,inf
86,20000,0.22771338564506394,0.0712432282905364,inf
87,20000,0.18945852582394768,0.0712432282905364,inf
88,20000,0.2761353828599792,0.0712432282905364,inf
89,20000,0.23283475606345733,0.0613177053438933,inf
90,20000,0.18503418380065967,0.05747902909617001,inf
91,20000,0.19550933514025842,0.05747902909617001,inf
92,20000,0.23427427423712668,0.05747902909617001,6.98255319976418e+296
93,20000,0.22704351273278753,0.05747902909617001,inf
94,20000,0.22108204354612426,0.05747902909617001,inf
95,20000,0.22594966368962202,0.05747902909617001,inf
96,20000,0.19627665991884952,0.05747902909617001,inf
97,20000,0.19875846030785313,0.05747902909617001,inf
98,20000,0.23056512902544982,0.05747902909617001,inf
99,20000,0.1735351393051009,0.08069569506087813,inf
100,20000,0.24558375261146842,0.0684415256804241,inf
