gen,nevals,med,min
0,1000,2.6117608591665925e+26,2.3326004607285317e+26
1,925,2.6117608591651095e+26,2.3326004607285317e+26
2,924,2.6117608591638492e+26,2.3326004607287832e+26
3,908,2.6117608591452685e+26,2.3326004607287832e+26
4,908,2.6117608591173505e+26,2.2927224340495238e+26
5,922,2.6117608583346494e+26,2.332600460726946e+26
6,903,2.611760856323229e+26,2.3326004600614583e+26
7,912,2.6117608529043323e+26,2.3326004606717313e+26
8,925,2.6117608529042677e+26,2.3326004606717313e+26
9,923,2.6117608529042677e+26,2.3326004561247394e+26
10,902,2.611760815449599e+26,1.3251855453066448e+26
11,913,2.6117602565739803e+26,1.313710123367709e+26
12,939,2.6117607961624844e+26,1.2400153982592494e+26
13,916,2.6117608109140492e+26,1.2400153982592494e+26
14,919,2.6117608068341893e+26,1.2400154002613578e+26
15,912,2.611760566986945e+26,1.2400154002613578e+26
16,907,2.6117592556825388e+26,1.2400154002390443e+26
17,903,2.6117541885008446e+26,1.0647861889685914e+26
18,910,2.611659337724993e+26,5.939575843763409e+25
19,900,2.6116438010336534e+26,1.0647861889685914e+26
20,918,2.611412298682505e+26,5.998286787010063e+25
21,910,2.6065067695301673e+26,5.998286787010063e+25
22,889,2.5671280171821016e+26,5.998286787010063e+25
23,893,2.3326004607278435e+26,5.8447357155882e+25
24,891,2.3321921691375277e+26,5.8447357155882e+25
25,901,2.3125368169395463e+26,4.631555433062243e+25
26,902,1.3437920566939955e+26,4.63013787544609e+25
27,895,1.3342720475692968e+26,4.631555433062243e+25
28,915,1.33371099975592e+26,4.6315554330622424e+25
29,912,1.3337109940425675e+26,4.63013787544117e+25
30,891,1.3251855400439e+26,4.63013787544609e+25
31,902,1.3187698940130791e+26,4.63013787544609e+25
32,901,1.3158880138161934e+26,4.570015767790763e+25
33,914,1.3331501224119096e+26,4.534425713395737e+25
34,909,1.3103413070970483e+26,4.534425713395737e+25
35,913,1.3103675758490375e+26,4.534425713395737e+25
36,908,1.0822981757315517e+26,4.534425713395737e+25
37,924,6.141958948757206e+25,4.534425713395737e+25
38,933,5.999182421185409e+25,4.534425713395737e+25
39,915,5.999182427120338e+25,4.534425713395737e+25
40,909,5.99918242736295e+25,4.534425713395737e+25
41,907,1.071895975698098e+26,4.534425713395737e+25
42,924,5.999222676225169e+25,4.534425713395737e+25
43,889,5.999182427120338e+25,4.534425713395737e+25
44,886,5.9991824204622285e+25,4.534425713395737e+25
45,884,5.999182423619286e+25,4.534425713395737e+25
46,912,6.060280152610258e+25,4.534425713395737e+25
47,918,8.410532443859407e+25,4.534425713395737e+25
48,907,6.292348571107595e+25,4.104550226427616e+25
49,922,6.176419819802748e+25,4.104550226427616e+25
50,912,5.998287224659473e+25,4.104550226427616e+25
51,883,5.997147132455312e+25,4.104550226427616e+25
52,925,5.999315364224096e+25,4.104550226427616e+25
53,914,5.8445781266731376e+25,4.104550226427616e+25
54,919,5.8445781266731376e+25,4.104550226427616e+25
55,902,5.844578124166809e+25,4.104550226427616e+25
56,901,5.8445781266731376e+25,4.104550226427616e+25
57,921,5.998287232721338e+25,4.104550226427616e+25
58,915,5.844578127136131e+25,4.104550226427616e+25
59,883,5.844578126585826e+25,4.104550226427616e+25
60,906,5.844578121510937e+25,4.104550226427616e+25
61,926,5.8445781266731376e+25,4.104550226427616e+25
62,923,5.8445781266731376e+25,4.104550226427616e+25
63,914,5.8445781266731376e+25,4.104550226427616e+25
64,915,5.998287235914292e+25,4.104550226427616e+25
65,917,5.8445781266731376e+25,4.104550226427616e+25
66,913,5.999039371917239e+25,4.104550226427616e+25
67,900,6.001051529444436e+25,4.104550226427616e+25
68,917,5.999182181098677e+25,4.104550226427616e+25
69,929,5.844578173247169e+25,4.104550226427616e+25
70,915,5.8445781266731376e+25,4.104550226427616e+25
71,863,5.844578092908917e+25,4.104550226427616e+25
72,900,5.844578121956584e+25,4.104550226427616e+25
73,936,5.8445781266731376e+25,4.104550226427616e+25
74,904,5.8445781266731376e+25,4.104550226427616e+25
75,920,5.844578126687973e+25,4.104550226427616e+25
76,893,5.8445781266731376e+25,4.104550226427616e+25
77,903,5.8445781266731376e+25,4.104550226427616e+25
78,920,5.8445781266731376e+25,4.104550226427616e+25
79,914,5.844578126690516e+25,4.104550226427616e+25
80,911,5.844578126687973e+25,4.104550226427616e+25
81,927,5.844979271615998e+25,4.104550226427616e+25
82,900,5.998287231172851e+25,4.104550226427616e+25
83,912,5.8445781266731376e+25,4.104550226427616e+25
84,901,5.844578126493706e+25,4.104550226427616e+25
85,906,5.8445781266731376e+25,4.104550226427616e+25
86,926,5.8445781266731376e+25,4.104550226427616e+25
87,919,5.844578121956584e+25,4.104550226427616e+25
88,917,5.8445781266731376e+25,4.104550226427616e+25
89,940,5.844578126687973e+25,4.104550226427616e+25
90,920,5.8445781266731376e+25,4.104550226427616e+25
91,920,5.844578126600451e+25,4.104550226427616e+25
92,928,5.8445781266731376e+25,4.104550226427616e+25
93,914,5.8445781266731376e+25,4.104550226427616e+25
94,890,5.844578126459647e+25,4.104550226427616e+25
95,925,5.8445781266731376e+25,4.104550226427616e+25
96,909,5.844578126687973e+25,4.104550226427616e+25
97,914,5.844578126915538e+25,4.104550226427616e+25
98,900,5.8445781266731376e+25,4.104550226427616e+25
99,902,5.844578126566392e+25,4.104550226427616e+25
100,905,5.8445781266731376e+25,4.104550226427616e+25
